0,0.3,0,10,0,&
1,0.3,0,10,0,&
2,0.1,-50,-70,160,&
3,0.1,50,-70,160,&
4,0.0,0,-70,160,&
5,0.0,0,-70,160
0,0.1,-40,10,-10,&
1,0.1,40,10,-10,&
2,0.1,-70,-70,160,&
3,0.1,70,-70,160
0,0.1,-40,-70,-15,&
1,0.1,40,-70,-15,&
2,0.1,-70,-30,120,&
3,0.1,70,-30,120
0,0.3,0,-70,160,&
1,0.3,0,-70,160
